"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2023","15,650.0","15,750.0","15,900.0","15,500.0","1.76M","0.97%"
"11/20/2023","15,500.0","14,700.0","15,800.0","14,550.0","2.33M","3.33%"
"11/17/2023","15,000.0","15,450.0","15,550.0","14,800.0","2.84M","-2.91%"
"11/16/2023","15,450.0","15,000.0","15,450.0","14,850.0","1.49M","3.00%"
"11/15/2023","15,000.0","15,450.0","15,600.0","15,000.0","2.20M","0.33%"
"11/14/2023","14,950.0","15,200.0","15,350.0","14,900.0","2.25M","1.01%"
"11/13/2023","14,800.0","14,950.0","15,200.0","14,600.0","1.73M","-0.67%"
"11/10/2023","14,900.0","14,550.0","15,500.0","14,550.0","2.57M","-0.33%"
"11/09/2023","14,950.0","15,200.0","15,300.0","14,750.0","2.76M","3.46%"
"11/08/2023","14,450.0","13,600.0","14,450.0","13,400.0","2.66M","6.64%"
"11/07/2023","13,550.0","13,600.0","13,950.0","13,400.0","1.33M","-1.09%"
"11/06/2023","13,700.0","13,700.0","13,850.0","13,200.0","1.06M","1.86%"
"11/03/2023","13,450.0","13,700.0","13,700.0","13,250.0","2.11M","0.37%"
"11/02/2023","13,400.0","12,850.0","13,400.0","12,700.0","1.85M","6.77%"
"11/01/2023","12,550.0","11,750.0","12,550.0","11,400.0","1.87M","6.81%"
"10/31/2023","11,750.0","12,600.0","12,800.0","11,700.0","1.82M","-6.00%"
"10/30/2023","12,500.0","13,050.0","13,350.0","12,500.0","1.02M","-4.58%"
"10/27/2023","13,100.0","13,050.0","13,450.0","12,450.0","1.48M","-0.38%"
"10/26/2023","13,150.0","13,700.0","13,700.0","13,150.0","2.82M","-6.74%"
"10/25/2023","14,100.0","14,350.0","14,600.0","14,100.0","1.35M","-1.40%"
"10/24/2023","14,300.0","14,100.0","14,300.0","13,850.0","1.16M","2.14%"
"10/23/2023","14,000.0","14,600.0","14,650.0","13,800.0","1.69M","-4.11%"
"10/20/2023","14,600.0","13,950.0","14,700.0","13,100.0","2.90M","4.66%"
"10/19/2023","13,950.0","15,000.0","15,000.0","13,950.0","3.04M","-6.69%"
"10/18/2023","14,950.0","15,700.0","15,850.0","14,500.0","4.26M","-3.86%"
"10/17/2023","15,550.0","16,850.0","16,900.0","15,550.0","2.41M","-6.89%"
"10/16/2023","16,700.0","17,050.0","17,100.0","16,500.0","1.61M","-1.47%"
"10/13/2023","16,950.0","17,050.0","17,400.0","16,550.0","2.38M","-2.02%"
"10/12/2023","17,300.0","17,700.0","17,750.0","17,200.0","1.72M","-1.14%"
"10/11/2023","17,500.0","16,700.0","17,500.0","16,500.0","2.77M","5.74%"
"10/10/2023","16,550.0","16,700.0","16,800.0","16,500.0","2.50M","1.53%"
"10/09/2023","16,300.0","16,150.0","16,500.0","16,100.0","1.57M","1.24%"
"10/06/2023","16,100.0","15,750.0","16,500.0","15,350.0","1.68M","1.90%"
"10/05/2023","15,800.0","16,650.0","16,850.0","15,550.0","1.62M","-4.24%"
"10/04/2023","16,500.0","15,150.0","17,000.0","15,150.0","2.53M","-0.30%"
"10/03/2023","16,550.0","17,400.0","17,600.0","16,550.0","3.82M","-6.76%"
"10/02/2023","17,750.0","17,300.0","18,000.0","17,300.0","1.63M","2.31%"
"09/29/2023","17,350.0","17,750.0","18,000.0","17,350.0","1.59M","-1.42%"
"09/28/2023","17,600.0","17,400.0","18,100.0","17,200.0","2.82M","1.73%"
"09/27/2023","17,300.0","16,350.0","17,300.0","16,100.0","2.77M","6.79%"
"09/26/2023","16,200.0","16,100.0","17,750.0","16,100.0","3.96M","-3.28%"
"09/25/2023","16,750.0","17,700.0","18,000.0","16,750.0","3.02M","-6.94%"
"09/22/2023","18,000.0","18,800.0","18,900.0","18,000.0","5.31M","-6.98%"
"09/21/2023","19,350.0","20,400.0","20,400.0","19,250.0","2.26M","-4.68%"
"09/20/2023","20,300.0","19,600.0","20,400.0","19,400.0","2.56M","4.64%"
"09/19/2023","19,400.0","19,450.0","19,650.0","18,850.0","1.53M","0.00%"
"09/18/2023","19,400.0","19,000.0","19,700.0","18,750.0","1.77M","0.78%"
"09/15/2023","19,250.0","19,600.0","19,700.0","18,900.0","2.55M","-2.28%"
"09/14/2023","19,700.0","19,300.0","20,000.0","19,100.0","2.83M","2.60%"
"09/13/2023","19,200.0","19,500.0","20,050.0","18,900.0","3.05M","0.26%"
"09/12/2023","19,150.0","18,050.0","19,150.0","17,850.0","3.68M","6.98%"
"09/11/2023","17,900.0","18,000.0","18,650.0","17,850.0","3.66M","1.13%"
"09/08/2023","17,700.0","17,800.0","17,950.0","17,500.0","1.45M","-0.56%"
"09/07/2023","17,800.0","17,800.0","17,950.0","17,600.0","1.76M","0.28%"
"09/06/2023","17,750.0","17,500.0","18,200.0","17,100.0","2.55M","2.31%"
"09/05/2023","17,350.0","17,700.0","17,700.0","17,150.0","1.92M","0.00%"
"08/31/2023","17,350.0","17,300.0","17,900.0","17,200.0","2.06M","0.29%"
"08/30/2023","17,300.0","16,400.0","17,500.0","16,400.0","4.12M","4.85%"
"08/29/2023","16,500.0","16,250.0","16,700.0","16,100.0","3.06M","2.80%"
"08/28/2023","16,050.0","15,800.0","16,100.0","15,700.0","2.01M","2.23%"
"08/25/2023","15,700.0","15,550.0","15,950.0","15,450.0","2.06M","1.62%"
"08/24/2023","15,450.0","15,100.0","15,450.0","14,800.0","1.65M","3.00%"
"08/23/2023","15,000.0","15,500.0","15,500.0","14,950.0","921.30K","-1.32%"
"08/22/2023","15,200.0","15,100.0","15,250.0","13,950.0","3.17M","1.33%"
"08/21/2023","15,000.0","15,300.0","15,500.0","14,700.0","1.71M","-1.96%"
"08/18/2023","15,300.0","16,300.0","16,350.0","15,300.0","3.29M","-6.71%"
"08/17/2023","16,400.0","16,300.0","16,900.0","16,150.0","2.67M","1.23%"
"08/16/2023","16,200.0","16,150.0","16,300.0","16,000.0","1.63M","-0.31%"
"08/15/2023","16,250.0","16,550.0","16,550.0","16,200.0","1.37M","-1.52%"
"08/14/2023","16,500.0","16,300.0","16,700.0","15,950.0","2.72M","3.13%"
"08/11/2023","16,000.0","15,550.0","16,150.0","15,500.0","2.88M","2.89%"
"08/10/2023","15,550.0","15,550.0","15,800.0","15,550.0","1.76M","-0.64%"
"08/09/2023","15,650.0","15,800.0","15,900.0","15,550.0","1.91M","-1.88%"
"08/08/2023","15,950.0","16,150.0","16,250.0","15,850.0","1.41M","-1.24%"
"08/07/2023","16,150.0","16,000.0","16,300.0","15,800.0","2.79M","3.19%"
"08/04/2023","15,650.0","15,500.0","15,700.0","15,300.0","2.08M","1.62%"
"08/03/2023","15,400.0","15,300.0","15,650.0","15,150.0","1.99M","0.98%"
"08/02/2023","15,250.0","15,100.0","15,300.0","15,100.0","1.33M","0.33%"
"08/01/2023","15,200.0","15,750.0","15,750.0","15,200.0","1.99M","-2.56%"
"07/31/2023","15,600.0","15,750.0","15,850.0","15,400.0","1.74M","0.32%"
"07/28/2023","15,550.0","15,200.0","15,650.0","15,200.0","2.51M","2.64%"
"07/27/2023","15,150.0","15,300.0","15,450.0","15,100.0","2.31M","-0.98%"
"07/26/2023","15,300.0","15,350.0","15,550.0","15,150.0","1.90M","-0.65%"
"07/25/2023","15,400.0","15,700.0","15,700.0","15,350.0","2.13M","-1.60%"
"07/24/2023","15,650.0","15,850.0","15,950.0","15,400.0","2.21M","0.32%"
"07/21/2023","15,600.0","15,200.0","15,650.0","14,850.0","4.22M","4.00%"
"07/20/2023","15,000.0","14,950.0","15,000.0","14,600.0","2.38M","0.33%"
"07/19/2023","14,950.0","15,200.0","15,250.0","14,950.0","2.49M","-0.99%"
"07/18/2023","15,100.0","15,300.0","15,400.0","15,100.0","1.32M","-1.31%"
"07/17/2023","15,300.0","15,250.0","15,450.0","15,100.0","1.74M","0.66%"
"07/14/2023","15,200.0","15,350.0","15,350.0","14,800.0","3.03M","0.00%"
"07/13/2023","15,200.0","15,300.0","15,300.0","15,150.0","1.11M","0.33%"
"07/12/2023","15,150.0","15,000.0","15,450.0","14,950.0","2.31M","1.34%"
"07/11/2023","14,950.0","15,200.0","15,300.0","14,850.0","2.27M","-0.66%"
"07/10/2023","15,050.0","14,850.0","15,200.0","14,850.0","2.11M","1.69%"
"07/07/2023","14,800.0","14,500.0","14,800.0","14,300.0","1.04M","1.02%"
"07/06/2023","14,650.0","14,700.0","15,000.0","14,200.0","2.88M","0.00%"
"07/05/2023","14,650.0","15,100.0","15,150.0","14,650.0","1.51M","-2.33%"
"07/04/2023","15,000.0","14,200.0","15,000.0","14,150.0","2.50M","5.63%"
"07/03/2023","14,200.0","14,450.0","14,450.0","14,100.0","719.50K","0.35%"
"06/30/2023","14,150.0","14,200.0","14,350.0","13,850.0","1.59M","1.07%"
"06/29/2023","14,000.0","14,550.0","14,650.0","14,000.0","2.46M","-5.08%"
"06/28/2023","14,750.0","14,900.0","14,950.0","14,600.0","1.82M","-1.01%"
"06/27/2023","14,900.0","15,200.0","15,200.0","14,700.0","1.51M","-0.67%"
"06/26/2023","15,000.0","14,950.0","15,000.0","14,000.0","3.37M","0.33%"
"06/23/2023","14,950.0","14,350.0","15,250.0","14,050.0","3.19M","4.55%"
"06/22/2023","14,300.0","14,500.0","14,650.0","14,200.0","3.91M","2.14%"
"06/21/2023","14,000.0","13,300.0","14,000.0","13,250.0","3.77M","6.87%"
"06/20/2023","13,100.0","12,950.0","13,100.0","12,850.0","1.54M","1.55%"
"06/19/2023","12,900.0","13,000.0","13,000.0","12,700.0","930.20K","0.39%"
"06/16/2023","12,850.0","12,800.0","13,350.0","12,800.0","3.44M","1.98%"
"06/15/2023","12,600.0","12,700.0","12,700.0","12,400.0","1.05M","-0.79%"
"06/14/2023","12,700.0","12,900.0","12,950.0","12,700.0","1.20M","-0.78%"
"06/13/2023","12,800.0","12,650.0","12,950.0","12,600.0","1.49M","1.59%"
"06/12/2023","12,600.0","12,900.0","12,900.0","12,350.0","1.36M","-1.56%"
"06/09/2023","12,800.0","12,600.0","12,800.0","12,100.0","2.21M","1.99%"
"06/08/2023","12,550.0","13,250.0","13,250.0","12,550.0","2.86M","-5.28%"
"06/07/2023","13,250.0","13,400.0","13,450.0","13,050.0","2.05M","-0.75%"
"06/06/2023","13,350.0","13,100.0","13,500.0","12,850.0","1.91M","1.91%"
"06/05/2023","13,100.0","13,500.0","13,600.0","13,050.0","1.80M","0.00%"
"06/02/2023","13,100.0","13,250.0","13,250.0","13,000.0","1.69M","0.77%"
"06/01/2023","13,000.0","13,150.0","13,300.0","12,800.0","1.88M","0.00%"
"05/31/2023","13,000.0","13,150.0","13,300.0","12,900.0","1.63M","-1.14%"
"05/30/2023","13,150.0","13,100.0","13,500.0","12,800.0","2.17M","1.15%"
"05/29/2023","13,000.0","12,750.0","13,100.0","12,750.0","1.46M","2.36%"
"05/26/2023","12,700.0","12,700.0","12,850.0","12,600.0","1.47M","0.00%"
"05/25/2023","12,700.0","13,100.0","13,150.0","12,600.0","1.63M","-2.68%"
"05/24/2023","13,050.0","12,600.0","13,250.0","12,400.0","3.18M","4.82%"
"05/23/2023","12,450.0","12,600.0","12,800.0","12,350.0","1.66M","-0.80%"
"05/22/2023","12,550.0","12,600.0","12,750.0","12,450.0","1.56M","0.40%"
"05/19/2023","12,500.0","12,450.0","12,700.0","12,150.0","1.32M","0.81%"
"05/18/2023","12,400.0","12,250.0","12,700.0","12,150.0","2.37M","2.06%"
"05/17/2023","12,150.0","12,200.0","12,550.0","12,100.0","2.16M","-0.82%"
"05/16/2023","12,250.0","12,300.0","12,450.0","12,150.0","1.11M","-0.41%"
"05/15/2023","12,300.0","12,600.0","12,800.0","12,300.0","1.73M","-1.20%"
"05/12/2023","12,450.0","12,100.0","12,450.0","11,950.0","2.12M","2.89%"
"05/11/2023","12,100.0","12,200.0","12,400.0","12,000.0","1.79M","-0.41%"
"05/10/2023","12,150.0","12,200.0","12,500.0","12,000.0","2.21M","-0.41%"
"05/09/2023","12,200.0","12,200.0","12,350.0","11,900.0","1.18M","0.00%"
"05/08/2023","12,200.0","12,350.0","12,550.0","12,150.0","2.11M","0.41%"
"05/05/2023","12,150.0","12,300.0","12,500.0","11,850.0","1.73M","-1.22%"
"05/04/2023","12,300.0","11,350.0","12,300.0","11,350.0","3.01M","6.96%"
"04/28/2023","11,500.0","11,650.0","11,700.0","11,250.0","1.65M","-0.43%"
"04/27/2023","11,550.0","11,550.0","11,750.0","11,450.0","1.11M","-2.12%"
"04/26/2023","11,800.0","11,300.0","11,900.0","11,050.0","1.87M","4.42%"
"04/25/2023","11,300.0","12,000.0","12,300.0","11,300.0","3.63M","-6.61%"
"04/24/2023","12,100.0","11,900.0","12,350.0","11,500.0","3.14M","3.42%"
"04/21/2023","11,700.0","11,000.0","11,700.0","10,950.0","3.96M","6.85%"
"04/20/2023","10,950.0","11,100.0","11,250.0","10,800.0","2.39M","1.39%"
"04/19/2023","10,800.0","10,250.0","10,800.0","10,200.0","5.17M","6.93%"
"04/18/2023","10,100.0","9,720.0","10,150.0","9,700.0","1.62M","3.27%"
"04/17/2023","9,780.0","9,510.0","9,780.0","9,480.0","761.30K","2.95%"
"04/14/2023","9,500.0","9,610.0","9,760.0","9,480.0","1.03M","-0.84%"
"04/13/2023","9,580.0","9,730.0","9,890.0","9,580.0","1.22M","-2.24%"
"04/12/2023","9,800.0","10,100.0","10,200.0","9,800.0","1.70M","-2.97%"
"04/11/2023","10,100.0","10,100.0","10,150.0","9,810.0","1.34M","0.00%"
"04/10/2023","10,100.0","10,400.0","10,500.0","10,000.0","1.51M","0.50%"
"04/07/2023","10,050.0","9,700.0","10,050.0","9,550.0","1.87M","4.69%"
"04/06/2023","9,600.0","10,200.0","10,400.0","9,600.0","2.34M","-4.95%"
"04/05/2023","10,100.0","9,970.0","10,200.0","9,880.0","1.99M","2.02%"
"04/04/2023","9,900.0","9,750.0","9,940.0","9,600.0","2.08M","1.75%"
"04/03/2023","9,730.0","9,790.0","9,800.0","9,660.0","1.66M","3.62%"
"03/31/2023","9,390.0","8,890.0","9,400.0","8,810.0","2.73M","5.51%"
"03/30/2023","8,900.0","9,200.0","9,200.0","8,800.0","2.01M","2.42%"
"03/29/2023","8,690.0","8,500.0","8,700.0","8,400.0","1.28M","2.24%"
"03/28/2023","8,500.0","8,600.0","8,650.0","8,450.0","819.30K","-0.70%"
"03/27/2023","8,560.0","8,250.0","8,600.0","8,150.0","1.70M","4.39%"
"03/24/2023","8,200.0","8,210.0","8,300.0","8,170.0","822.40K","0.86%"
"03/23/2023","8,130.0","7,980.0","8,140.0","7,900.0","515.90K","1.50%"
"03/22/2023","8,010.0","8,100.0","8,100.0","8,010.0","297.40K","-0.25%"
"03/21/2023","8,030.0","7,990.0","8,030.0","7,890.0","257.90K","1.65%"
"03/20/2023","7,900.0","8,080.0","8,130.0","7,900.0","478.20K","-2.35%"
"03/17/2023","8,090.0","8,300.0","8,300.0","8,080.0","531.60K","-0.12%"
"03/16/2023","8,100.0","8,150.0","8,160.0","8,000.0","846.70K","-0.37%"
"03/15/2023","8,130.0","7,800.0","8,130.0","7,720.0","1.34M","6.97%"
